time,stockid,StockID,StockName,date,price,open,close,high,low,vol,amount,cjbs,yclose,syl1,syl2,buy1,buy2,buy3,buy4,buy5,sale1,sale2,sale3,sale4,sale5,bc1,bc2,bc3,bc4,bc5,sc1,sc2,sc3,sc4,sc5,wb,lb,zmm,buy_vol,buy_amount,sale_vol,sale_amount,w_buy,w_sale,sectional_buy_vol,sectional_buy_amount,sectional_sale_vol,sectional_sale_amount,sectional_w_buy,sectional_w_sale,sectional_yclose,sectional_open,sectional_close,sectional_high,sectional_low,sectional_vol,sectional_amount,sectional_cjbs,sectional_wb,5min,10min,20min
2018-06-15 10:31:49,<NIL>,SH600637,东方明珠,43266.4387615741,15.7,15.7,15.7,15.7,15.7,11100,174270,1,15.7,0,0,15.7,15.68,15.67,15.66,15.65,15.72,15.73,15.77,15.78,15.79,28100,2300,2400,5700,26500,300,14100,12600,2411,2000,2.0693387666741003,1.2895437479019198,1,11100,174270,0,0,65000,31411,1070333,17022611,1760000,27984480,60343833,69828089,16.08,16.06,15.7,16.17,15.66,2830333,45007091,2409,0.8641770649057859,15.7343478261,15.6025673401,15.5933798883
2018-06-15 10:31:54,<NIL>,SH600637,东方明珠,43266.438819444396,15.7,15.7,15.7,15.7,15.7,2300,36116,3,15.7,0,0,15.71,15.7,15.68,15.67,15.66,15.73,15.77,15.78,15.79,15.8,200,28100,2300,2400,5700,14100,12600,2411,2000,32700,0.606478506840513,1.29059171676636,2,0,0,2300,36116,38700,63811,1070333,17022611,1762300,28020596,60382533,69891900,16.08,16.06,15.7,16.17,15.66,2832633,45043207,2412,0.8639417872457321,15.7343478261,15.6007178465,15.597993311
2018-06-15 10:31:57,<NIL>,SH600637,东方明珠,43266.4388541667,15.7,15.7,15.7,15.7,15.7,1000,15705,3,15.7,0,0,15.7,15.69,15.68,15.67,15.66,15.73,15.77,15.78,15.79,15.8,31900,1000,2800,14000,5700,14100,12600,2411,2000,32700,0.8681888702574789,1.29104733467102,2,0,0,1000,15705,55400,63811,1070333,17022611,1763300,28036301,60437933,69955711,16.08,16.06,15.7,16.17,15.66,2833633,45058912,2415,0.863945661277033,15.7348,15.6005865103,15.5982758621
2018-06-15 10:32:00,<NIL>,SH600637,东方明珠,43266.4388888889,15.7,15.7,15.7,15.7,15.7,0,0,0,15.7,0,0,15.71,15.7,15.69,15.68,15.67,15.73,15.77,15.78,15.79,15.8,1000,33700,1500,2800,15000,14100,12600,2411,2000,32700,0.846249079312344,1.29104733467102,0,0,0,0,0,54000,63811,1070333,17022611,1763300,28036301,60491933,70019522,16.08,16.06,15.7,16.17,15.66,2833633,45058912,2415,0.863929533823438,15.7368571429,15.5979793158,15.6025252525
2018-06-15 10:32:01,<NIL>,SH600637,东方明珠,43266.438900463,15.73,15.73,15.73,15.73,15.73,500,7865,1,15.7,0,0,15.71,15.7,15.69,15.68,15.67,15.73,15.77,15.78,15.79,15.8,1400,38100,1500,2800,15000,13600,12600,2411,2000,32700,0.928748558702279,1.27077865600586,1,500,7865,0,0,58800,63311,1070833,17030476,1763300,28036301,60550733,70082833,16.08,16.06,15.73,16.17,15.66,2834133,45066777,2416,0.8639880896367299,15.7213563218,15.5973496241,15.6025838926
2018-06-15 10:32:05,<NIL>,SH600637,东方明珠,43266.4389467593,15.73,15.73,15.73,15.73,15.73,6000,94256,5,15.73,0,0,15.71,15.7,15.69,15.68,15.67,15.73,15.77,15.78,15.79,15.8,11000,34900,1500,3400,15000,12200,12600,2411,2000,32700,1.06281597777455,1.2734689712524399,1,6000,94256,0,0,65800,61911,1076833,17124732,1763300,28036301,60616533,70144744,16.08,16.06,15.73,16.17,15.66,2840133,45161033,2421,0.8641635786709828,15.7211320755,15.5972988506,15.6026599327
2018-06-15 10:32:08,<NIL>,SH600637,东方明珠,43266.4389814815,15.73,15.73,15.73,15.73,15.73,0,0,0,15.73,0,0,15.71,15.7,15.69,15.68,15.67,15.73,15.77,15.78,15.79,15.8,12000,32200,1500,3400,12600,12200,12600,2411,2000,32700,0.9965918818949779,1.2734689712524399,0,0,0,0,0,61700,61911,1076833,17124732,1763300,28036301,60678233,70206655,16.08,16.06,15.73,16.17,15.66,2840133,45161033,2421,0.8642803591767758,15.7213953488,15.5972379032,15.6045112782
2018-06-15 10:32:12,<NIL>,SH600637,东方明珠,43266.4390277778,15.73,15.73,15.73,15.73,15.73,5200,81696,2,15.73,0,0,15.71,15.7,15.69,15.68,15.67,15.73,15.77,15.78,15.79,15.8,7000,38500,1500,3400,12600,12000,12600,2411,2000,32700,1.02088768614996,1.27580058574677,1,5200,81696,0,0,63000,61711,1082033,17206428,1763300,28036301,60741233,70268366,16.08,16.06,15.73,16.17,15.66,2845333,45242729,2423,0.864417894675393,15.7213519814,15.5974862385,15.6045454545
2018-06-15 10:32:14,<NIL>,SH600637,东方明珠,43266.439050925896,15.73,15.73,15.73,15.73,15.73,2700,42471,1,15.73,0,0,15.71,15.7,15.69,15.68,15.67,15.73,15.77,15.78,15.79,15.8,12000,38500,1500,3900,12600,9300,12600,2411,2000,32700,1.16080052871499,1.27701115608215,1,2700,42471,0,0,68500,59011,1084733,17248899,1763300,28036301,60809733,70327377,16.08,16.06,15.73,16.17,15.66,2848033,45285200,2424,0.864666586384986,15.7213519814,15.6032148377,15.6172
2018-06-15 10:32:18,<NIL>,SH600637,东方明珠,43266.4390972222,15.73,15.73,15.73,15.73,15.73,13200,207558,2,15.73,0,0,15.72,15.71,15.7,15.69,15.68,15.77,15.78,15.79,15.8,15.84,1200,20100,39200,1500,3900,12600,2411,2000,32700,2400,1.26460824010286,1.28292989730835,1,13200,207558,0,0,65900,52111,1097933,17456457,1763300,28036301,60875633,70379488,16.08,16.06,15.73,16.17,15.66,2861233,45492758,2426,0.864962714704603,15.721264637,15.6032248062,15.6426086957
2018-06-15 10:32:21,<NIL>,SH600637,东方明珠,43266.4391319444,15.73,15.73,15.73,15.73,15.73,0,0,0,15.73,0,0,15.75,15.72,15.71,15.7,15.69,15.77,15.78,15.79,15.8,15.84,400,2600,21100,39200,1500,12600,2411,2000,32700,2400,1.2434994530905201,1.28292989730835,0,0,0,0,0,64800,52111,1097933,17456457,1763300,28036301,60940433,70431599,16.08,16.06,15.73,16.17,15.66,2861233,45492758,2426,0.8652427868349258,15.7199546485,15.6022057264,15.6435555556
2018-06-15 10:32:23,<NIL>,SH600637,东方明珠,43266.4391550926,15.75,15.75,15.75,15.75,15.75,200,3150,1,15.73,0,0,15.75,15.73,15.72,15.71,15.7,15.77,15.78,15.79,15.8,15.84,200,200,4400,21100,39500,12600,2411,2000,32700,2400,1.25501333691543,1.2830195426940902,2,0,0,200,3150,65400,52111,1097933,17456457,1763500,28039451,61005833,70483710,16.08,16.06,15.75,16.17,15.66,2861433,45495908,2427,0.8655309574368321,15.719954955,15.6027078891,15.6435555556
2018-06-15 10:32:27,<NIL>,SH600637,东方明珠,43266.4392013889,15.77,15.77,15.77,15.77,15.77,100,1577,1,15.75,0,0,15.75,15.73,15.72,15.71,15.7,15.77,15.78,15.79,15.8,15.84,200,200,7800,21100,39400,12500,2411,2000,32700,2400,1.32087443040895,1.28306436538696,1,100,1577,0,0,68700,52011,1098033,17458034,1763500,28039451,61074533,70535721,16.08,16.06,15.77,16.17,15.66,2861533,45497485,2428,0.8658667145402821,15.719954955,15.6031905782,15.6435555556
2018-06-15 10:32:29,<NIL>,SH600637,东方明珠,43266.439224537,15.77,15.77,15.77,15.77,15.77,1900,29963,2,15.77,0,0,15.75,15.73,15.72,15.71,15.7,15.77,15.78,15.79,15.8,15.84,200,900,8700,21600,38900,10600,2411,2000,32700,2400,1.4028855939813603,1.2839163541793799,1,1900,29963,0,0,70300,50111,1099933,17487997,1763500,28039451,61144833,70585832,16.08,16.06,15.77,16.17,15.66,2863433,45527448,2430,0.8662479603555571,15.7197811816,15.6042768595,15.6443478261
2018-06-15 10:32:33,<NIL>,SH600637,东方明珠,43266.4392708333,15.77,15.77,15.77,15.77,15.77,1100,17347,1,15.77,0,0,15.75,15.73,15.72,15.71,15.7,15.77,15.78,15.79,15.8,15.84,200,6600,8700,21600,38900,9500,2411,2000,32700,2400,1.55067229805554,1.2844095230102501,1,1100,17347,0,0,76000,49011,1101033,17505344,1763500,28039451,61220833,70634843,16.08,16.06,15.77,16.17,15.66,2864533,45544795,2431,0.8667228580093249,15.7118947368,15.6116849015,15.6327777778
